subject,labelType,horizon,weighting,regime,meanIC,stdIC,icIR,tStat,neweyWestTStat,nDates
sentiment,xs,5,EW,ALL,0.004731,0.067207,0.070394,2.381997,1.337649,1145
sentiment,xs,10,EW,ALL,0.00747,0.065754,0.113608,3.835849,1.623159,1140
sentiment,xs,21,EW,ALL,0.008583,0.063145,0.135923,4.567096,1.540158,1129
sentiment,xs,63,EW,ALL,0.010029,0.056093,0.178799,5.894944,1.33136,1087
sentiment,xs,1,EW,BULL,0.00081,0.067124,0.012064,0.288779,0.285824,573
sentiment,xs,3,EW,BULL,0.005639,0.065269,0.086392,2.068005,1.544229,573
sentiment,xs,5,EW,BULL,0.008649,0.063633,0.135923,3.253649,1.997135,573
sentiment,xs,10,EW,BULL,0.011872,0.061769,0.192207,4.596929,2.111975,572
sentiment,xs,21,EW,BULL,0.008888,0.058988,0.150676,3.60364,1.605867,572
sentiment,xs,63,EW,BULL,0.013552,0.049086,0.276098,6.603304,1.771388,572
sentiment,xs,1,EW,BEAR,0.003344,0.079904,0.041847,0.410018,0.420034,96
sentiment,xs,3,EW,BEAR,0.000688,0.075851,0.009064,0.088807,0.060934,96
sentiment,xs,5,EW,BEAR,0.002208,0.084536,0.026123,0.255951,0.141734,96
