subject,labelType,horizon,weighting,regime,decile,nObs,meanRet,medianRet
trend,fwd,63,EW,BULL,5,9324,5.5235,3.2392
trend,fwd,63,EW,BULL,6,9587,5.9748,3.6976
trend,fwd,63,EW,BULL,7,9515,5.9719,3.5078
trend,fwd,63,EW,BULL,8,9358,5.6284,3.1737
trend,fwd,63,EW,BULL,9,9537,8.0836,3.9975
trend,fwd,63,EW,BULL,10,9165,6.5494,3.7131
trend,fwd,63,VW,BULL,1,9724,2.9082,1.1391
trend,fwd,63,VW,BULL,2,9401,3.3061,2.1472
trend,fwd,63,VW,BULL,3,9494,3.2062,3.0394
trend,fwd,63,VW,BULL,4,9379,3.8729,3.2897
trend,fwd,63,VW,BULL,5,9324,3.76,3.2392
trend,fwd,63,VW,BULL,6,9587,3.8967,3.6976
trend,fwd,63,VW,BULL,7,9515,3.5626,3.5078
trend,fwd,63,VW,BULL,8,9358,3.177,3.1737
trend,fwd,63,VW,BULL,9,9537,4.8689,3.9975
trend,fwd,63,VW,BULL,10,9165,3.4664,3.7131
trend,fwd,1,EW,BEAR,1,1632,0.0899,0.0435
trend,fwd,1,EW,BEAR,2,1605,0.0206,0.0452
trend,fwd,1,EW,BEAR,3,1577,0.0429,0.0168
trend,fwd,1,EW,BEAR,4,1591,0.01,-0.038
trend,fwd,1,EW,BEAR,5,1550,0.0196,-0.0051
trend,fwd,1,EW,BEAR,6,1632,0.0379,0.0349
trend,fwd,1,EW,BEAR,7,1591,0.0476,0.0413
trend,fwd,1,EW,BEAR,8,1577,-0.0227,-0.0198
trend,fwd,1,EW,BEAR,9,1605,-0.0763,-0.0081
trend,fwd,1,EW,BEAR,10,1536,0.0571,0.0366
trend,fwd,1,VW,BEAR,1,1632,0.3174,0.0435
trend,fwd,1,VW,BEAR,2,1605,-0.0551,0.0452
trend,fwd,1,VW,BEAR,3,1577,0.0395,0.0168
trend,fwd,1,VW,BEAR,4,1591,-0.0073,-0.038
trend,fwd,1,VW,BEAR,5,1550,0.0775,-0.0051
trend,fwd,1,VW,BEAR,6,1632,0.0581,0.0349
trend,fwd,1,VW,BEAR,7,1591,0.0653,0.0413
trend,fwd,1,VW,BEAR,8,1577,-0.0178,-0.0198
trend,fwd,1,VW,BEAR,9,1605,-0.0313,-0.0081
trend,fwd,1,VW,BEAR,10,1536,0.0827,0.0366
trend,fwd,3,EW,BEAR,1,1632,0.4633,0.0569
trend,fwd,3,EW,BEAR,2,1605,0.1818,0.0744
trend,fwd,3,EW,BEAR,3,1577,0.1954,0.0308
trend,fwd,3,EW,BEAR,4,1591,0.136,0.0563
trend,fwd,3,EW,BEAR,5,1550,0.2237,0.0929
trend,fwd,3,EW,BEAR,6,1632,0.1427,0.0795
trend,fwd,3,EW,BEAR,7,1591,0.129,0.0009
trend,fwd,3,EW,BEAR,8,1577,-0.0954,-0.0618
trend,fwd,3,EW,BEAR,9,1605,-0.0726,-0.0569
trend,fwd,3,EW,BEAR,10,1536,0.0287,0.1162
trend,fwd,3,VW,BEAR,1,1632,1.461,0.0569
trend,fwd,3,VW,BEAR,2,1605,0.0706,0.0744
trend,fwd,3,VW,BEAR,3,1577,0.2438,0.0308
